,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
11,20220315,000893.SZ,化肥行业,亚钾国际,25.97,-9.98,649808736.0,72284478.0,19653856348.84,19656778181.6,3.25,8351952.0,,142957,8,,1.0,D
12,20220315,000895.SZ,食品饮料,双汇发展,25.13,-9.99,733840320.0,107657465.0,37414152497.82,87066936358.08,1.92,21323533.0,,140257,13,,1.0,D
13,20220315,000933.SZ,有色金属,神火股份,10.81,-9.99,1870294432.0,96463948.0,24122085940.29,24333165232.48,7.53,16931378.0,,144203,10,,2.0,D
14,20220315,000953.SZ,化学制药,河化股份,7.67,-9.98,413772720.0,89370238.0,2453797943.35,2808157212.64,16.66,24114311.0,,142345,10,,3.0,D
15,20220315,000960.SZ,小金属,锡业股份,19.71,-10.0,1140575024.0,54052704.0,32891582430.09,32891582528.64,3.35,15929050.0,,145136,2,,1.0,D
16,20220315,000963.SZ,化学制药,华东医药,30.78,-10.0,923748512.0,39593914.0,53857668296.34,53859138010.56,1.65,5925150.0,,144812,4,,1.0,D
17,20220315,000983.SZ,煤炭行业,山西焦煤,9.99,-10.0,1425826096.0,135633896.0,40924634400.0,40924634400.0,3.4,49218622.0,,142727,6,,1.0,D
18,20220315,001202.SZ,物流行业,炬申股份,16.42,-9.98,126086867.0,7743672.0,529413640.0,2114896000.0,22.7,582910.0,,145239,2,,1.0,D
19,20220315,001266.SZ,仪器仪表,宏英智能,50.0,3.18,260357014.0,,918000000.0,3672000000.0,28.27,,140857,,1,0/0,,Z
20,20220315,001313.SZ,农牧饲渔,粤海饲料,14.87,-9.99,532963008.0,30694653.0,1487000000.0,10409000000.0,34.35,4912691.0,,145530,1,,1.0,D
21,20220315,001979.SZ,房地产开发,招商蛇口,12.77,-10.01,1039428240.0,172413614.0,101160366264.42,101179806673.92,0.99,23266940.0,,145545,9,,1.0,D
22,20220315,002066.SZ,装修建材,瑞泰科技,9.79,-10.02,69360052.0,1267805.0,2261490000.0,2261490000.0,2.92,344608.0,,145648,1,,1.0,D
23,20220315,002093.SZ,通信服务,国脉科技,7.24,10.03,581426848.0,,7267331905.0,7294300000.0,8.15,16880784.0,101424,140315,3,1/1,1.0,U
24,20220315,002112.SZ,电网设备,三变科技,8.85,3.75,368769136.0,,1759405603.05,1784160000.0,20.47,,95906,,1,0/0,,Z
25,20220315,002116.SZ,工程咨询,中国海诚,8.94,4.32,283324784.0,,3722655461.16,3733602759.36,7.44,,103021,,1,0/0,,Z
26,20220315,002148.SZ,通信服务,北纬科技,6.41,9.95,435270752.0,,2948678093.03,3662511955.2,14.96,27056013.0,93551,93815,2,1/1,1.0,U
27,20220315,002162.SZ,装修建材,悦心健康,5.7,-9.95,580648032.0,31225682.0,4864627950.0,5281050000.0,11.62,25588804.0,,143303,0,,2.0,D
28,20220315,002244.SZ,房地产开发,滨江集团,5.77,-9.98,356144816.0,44034043.0,15499552956.55,17953031233.76,2.23,682014.0,,145606,4,,1.0,D
29,20220315,002246.SZ,化学制品,北化股份,13.67,9.98,347562352.0,,7505305633.98,7505305716.0,4.76,230012773.0,93018,93018,0,4/8,3.0,U
